source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data,solver_success,solver_max_abs_residual
Matin,20.0,0.3,0.431,MEACOO-,0.0417,0.0457978846038637,0.040709363508581,True,3.552713678800501e-15
Matin,20.0,0.3,0.455,MEACOO-,0.0433,0.0477234741765501,0.0422441555934748,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.474,MEACOO-,0.0493,0.0488750816748525,-0.0037594231258257,True,3.552713678800501e-15
Matin,20.0,0.3,0.48,MEACOO-,0.0448,0.0491379184686729,0.0401387413873488,True,1.2434497875801753e-13
Matin,20.0,0.3,0.505,MEACOO-,0.0462,0.0495407280192788,0.0303204088582538,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.524,MEACOO-,0.0467,0.0490519004505839,0.0213389576373756,True,6.253038976318632e-16
Matin,20.0,0.3,0.531,MEACOO-,0.0475,0.0487225075701226,0.011036022131371,True,1.7763568394002505e-15
Jakobsen,20.0,0.3,0.6,MEACOO-,0.0519,0.0432763137392503,-0.0789170972213748,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.609,MEACOO-,0.04,0.0424283286083897,0.0255959324855405,True,6.253964441179223e-16
Bottinger,20.0,0.3,0.704,MEACOO-,0.0324,0.0331717122200382,0.0102228788143093,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.78,MEACOO-,0.0385,0.0260997578135553,-0.1688242520830364,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.832,MEACOO-,0.0198,0.0217523080310335,0.0408401543377242,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.929,MEACOO-,0.0118,0.0152025422647998,0.1100342121684087,True,3.552713678800501e-15
Bottinger,20.0,0.3,0.974,MEACOO-,0.0114,0.0129136709368611,0.0541448642840519,True,3.552713678800501e-15
Jakobsen,20.0,0.3,0.99,MEACOO-,0.0276,0.0122067680780257,-0.3543083887735411,True,7.105427357601002e-15
Matin,20.0,0.3,0.106,MEAH+,0.0115,0.0125985728210682,0.0396235102369577,True,2.3092638912203256e-13
Jakobsen,20.0,0.3,0.11,MEAH+,0.0081,0.0130492301745652,0.2070998728109828,True,4.263256414560601e-14
Matin,20.0,0.3,0.128,MEAH+,0.0139,0.0150760158624199,0.0352717854721218,True,7.105427357601002e-15
Matin,20.0,0.3,0.15,MEAH+,0.0162,0.0175512426795528,0.034792856673249,True,3.552713678800501e-15
Matin,20.0,0.3,0.173,MEAH+,0.0186,0.0201373954833602,0.034490355150131,True,7.105427357601002e-15
Matin,20.0,0.3,0.195,MEAH+,0.021,0.0226100294475771,0.03208183324222,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.21,MEAH+,0.0178,0.024295451045806,0.1351049638555685,True,3.552713678800501e-15
Matin,20.0,0.3,0.218,MEAH+,0.0234,0.025194212159258,0.032084924799942,True,2.131628207280301e-14
Matin,20.0,0.3,0.241,MEAH+,0.0257,0.0277777105148003,0.0337633242703069,True,3.626707139797997e-15
Jakobsen,20.0,0.3,0.25,MEAH+,0.0245,0.028788483733398,0.0700527071700445,True,3.5527136788005016e-14
Matin,20.0,0.3,0.264,MEAH+,0.0281,0.0303606327152772,0.033604498105262,True,3.552713678800501e-15
Matin,20.0,0.3,0.287,MEAH+,0.0304,0.0329430335629041,0.0348900051220275,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.29,MEAH+,0.0236,0.0332798310049954,0.149269109306504,True,7.105427357601002e-15
