temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,curve_role,solver_success,solver_max_abs_residual
20.0,0.3,0.12,OH-,1.7209852765938583e-05,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
20.0,0.3,0.12,MEA + MEAH+,0.09956508575294389,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
20.0,0.3,0.125,CO2,2.0363386963935864e-09,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.125,MEA,0.08427413888096194,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.125,MEAH+,0.0147383346833779,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.125,MEACOO-,0.013227170096417763,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.125,HCO3-,0.00011073824192286683,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.125,CO3^2-,0.0006920450829156948,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.125,H3O+,1.0632934628738736e-13,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.125,OH-,1.63361793123757e-05,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.125,MEA + MEAH+,0.09901247356433984,explicit_ideal_equilibrium_curve,true,3.197442310920451e-14
20.0,0.3,0.13,CO2,2.2619019139848506e-09,explicit_ideal_equilibrium_curve,true,4.263256414560601e-14
