role,temperature_C,species,CO2_loading,mole_fraction
curve,60.0,MEAH+,0.16579375,0.0187612128324101
curve,60.0,MEAH+,0.1707875,0.0193213275404275
curve,60.0,MEAH+,0.17578125,0.019881443981999
curve,60.0,MEAH+,0.180775,0.0204415603948128
curve,60.0,MEAH+,0.18576875,0.0210016731760199
curve,60.0,MEAH+,0.1907625,0.0215617879172182
curve,60.0,MEAH+,0.19575625,0.022121902071509
curve,60.0,MEAH+,0.2007499999999999,0.0226820147455701
curve,60.0,MEAH+,0.20574375,0.023242126750149
curve,60.0,MEAH+,0.2107375,0.023802241645983
curve,60.0,MEAH+,0.2157312499999999,0.0243623563398861
curve,60.0,MEAH+,0.220725,0.0249224714030754
curve,60.0,MEAH+,0.22571875,0.0254825884084443
curve,60.0,MEAH+,0.2307125,0.0260427049739476
curve,60.0,MEAH+,0.23570625,0.0266028255313435
curve,60.0,MEAH+,0.2407,0.0271629478460035
curve,60.0,MEAH+,0.24569375,0.027723071049976
curve,60.0,MEAH+,0.2506875,0.0282831953141171
curve,60.0,MEAH+,0.2556812499999999,0.0288433245749103
curve,60.0,MEAH+,0.260675,0.0294034539916758
curve,60.0,MEAH+,0.26566875,0.0299635859604516
curve,60.0,MEAH+,0.2706625,0.0305237216236256
curve,60.0,MEAH+,0.27565625,0.0310838597350206
curve,60.0,MEAH+,0.28065,0.0316439980617935
curve,60.0,MEAH+,0.28564375,0.0322041411878804
curve,60.0,MEAH+,0.2906375,0.0327642869592696
curve,60.0,MEAH+,0.29563125,0.0333244311935663
curve,60.0,MEAH+,0.300625,0.0338845808465865
curve,60.0,MEAH+,0.30561875,0.0344447297335648
curve,60.0,MEAH+,0.3106125,0.0350048799770934
curve,60.0,MEAH+,0.31560625,0.035565031521929
curve,60.0,MEAH+,0.3206,0.0361251841290648
curve,60.0,MEAH+,0.32559375,0.0366853367022022
curve,60.0,MEAH+,0.3305875,0.0372454881057846
curve,60.0,MEAH+,0.33558125,0.0378056380548306
curve,60.0,MEAH+,0.340575,0.0383657837737465
curve,60.0,MEAH+,0.34556875,0.0389259283309708
curve,60.0,MEAH+,0.3505625,0.0394860674622271
curve,60.0,MEAH+,0.35555625,0.0400462019490016
curve,60.0,MEAH+,0.36055,0.0406063267475894
curve,60.0,MEAH+,0.36554375,0.041166442883831
curve,60.0,MEAH+,0.3705375,0.0417265469710694
curve,60.0,MEAH+,0.37553125,0.0422866379664513
curve,60.0,MEAH+,0.380525,0.0428467107916554
curve,60.0,MEAH+,0.38551875,0.0434067605411954
curve,60.0,MEAH+,0.3905125,0.0439667840922079
curve,60.0,MEAH+,0.39550625,0.0445267792316549
curve,60.0,MEAH+,0.4004999999999999,0.0450867344792139
curve,60.0,MEAH+,0.40549375,0.0456466410462044
curve,60.0,MEAH+,0.4104875,0.0462064952268475
curve,60.0,MEAH+,0.4154812499999999,0.0467662800101655
curve,60.0,MEAH+,0.420475,0.047325981284796
curve,60.0,MEAH+,0.42546875,0.0478855802443231
curve,60.0,MEAH+,0.4304624999999999,0.0484450529452446
curve,60.0,MEAH+,0.43545625,0.0490043681144864
curve,60.0,MEAH+,0.44045,0.049563490142981
curve,60.0,MEAH+,0.4454437499999999,0.0501223685173437
curve,60.0,MEAH+,0.4504375,0.0506809409028407
curve,60.0,MEAH+,0.45543125,0.0512391254369298
curve,60.0,MEAH+,0.460425,0.0517968192964941
curve,60.0,MEAH+,0.46541875,0.0523538878388298
curve,60.0,MEAH+,0.4704125,0.0529101605538882
curve,60.0,MEAH+,0.47540625,0.0534654227775595
curve,60.0,MEAH+,0.4804,0.054019409116438
