source,species,CO2_loading,mole_fraction,accepted,message
reference,OH-,0.762,0.0185079138562569,,
reference,OH-,0.78,1.0000000000000002e-12,,
model,OH-,0.11,3.393043011306133e-05,True,converged
model,OH-,0.125,2.845892408917465e-05,True,converged
model,OH-,0.205,1.2398623291842766e-05,True,converged
model,OH-,0.21,1.180402427576436e-05,True,converged
model,OH-,0.236,9.148507342275348e-06,True,converged
model,OH-,0.25,7.971007199656602e-06,True,converged
model,OH-,0.28,5.9034847540201245e-06,True,converged
model,OH-,0.29,5.328309254274663e-06,True,converged
model,OH-,0.343,2.987337069030417e-06,True,converged
model,OH-,0.354,2.6211564487103324e-06,True,converged
model,OH-,0.4,1.4194436979691977e-06,True,converged
model,OH-,0.46,4.666949496866966e-07,True,converged
model,OH-,0.466,4.031450681083257e-07,True,converged
model,OH-,0.487,2.261285225404665e-07,True,converged
model,OH-,0.508,1.2042202575660985e-07,True,converged
model,OH-,0.6,2.0693958655393996e-08,True,converged
model,OH-,0.663,1.1026945871758248e-08,True,converged
model,OH-,0.683,9.414765449432846e-09,True,converged
model,OH-,0.762,5.703661604350537e-09,True,converged
model,OH-,0.78,5.196730826257547e-09,True,converged
reference,MEA + MEAH+,0.11,0.1052154175156411,,
reference,MEA + MEAH+,0.125,0.1217066149302878,,
reference,MEA + MEAH+,0.205,0.11462927782867269,,
reference,MEA + MEAH+,0.21,0.0897901453983099,,
reference,MEA + MEAH+,0.236,0.10919398896425,,
reference,MEA + MEAH+,0.25,0.0793247548027115,,
reference,MEA + MEAH+,0.28,0.1055914399844105,,
reference,MEA + MEAH+,0.29,0.0797737888827473,,
reference,MEA + MEAH+,0.343,0.09773812343698579,,
reference,MEA + MEAH+,0.354,0.0967401965413096,,
reference,MEA + MEAH+,0.4,0.08597049915799759,,
reference,MEA + MEAH+,0.46,0.0809030051056825,,
reference,MEA + MEAH+,0.466,0.0882678567815793,,
reference,MEA + MEAH+,0.487,0.0867170718220242,,
reference,MEA + MEAH+,0.508,0.0867439845873245,,
reference,MEA + MEAH+,0.6,0.065047922054409,,
reference,MEA + MEAH+,0.663,0.10131902848624419,,
reference,MEA + MEAH+,0.683,0.0912820173768693,,
reference,MEA + MEAH+,0.762,0.10388930847724111,,
reference,MEA + MEAH+,0.78,0.07696684056820631,,
model,MEA + MEAH+,0.11,0.1001925946667718,True,converged
model,MEA + MEAH+,0.125,0.09852140040606551,True,converged
model,MEA + MEAH+,0.205,0.0895987991317348,True,converged
