source,species,CO2_loading,mole_fraction
model,H2O,0.22544,0.8875930043169846
model,H2O,0.23342,0.8875820298454538
model,H2O,0.2414,0.8875702552286028
model,H2O,0.24938,0.887557787864201
model,H2O,0.25736,0.8875445728922169
model,H2O,0.26534,0.8875305514044464
model,H2O,0.27332,0.8875155131828136
model,H2O,0.2813,0.887499256272496
model,H2O,0.28928,0.8874818714623817
model,H2O,0.29726,0.8874632536049293
model,H2O,0.30524,0.8874432886543965
model,H2O,0.31322,0.8874214672957719
model,H2O,0.3212,0.8873976278352883
model,H2O,0.32918,0.887371777744999
model,H2O,0.33716,0.8873436900097427
model,H2O,0.34514,0.887313115295196
model,H2O,0.35312,0.8872787605589786
model,H2O,0.3611,0.8872406406056974
model,H2O,0.3690800000000001,0.8871984435170869
model,H2O,0.37706,0.8871515906389499
model,H2O,0.38504,0.8870994021611426
model,H2O,0.39302,0.887038233814704
model,H2O,0.401,0.8869686358145024
model,H2O,0.40898,0.886889025083279
model,H2O,0.41696,0.8867975382499104
model,H2O,0.42494,0.8866905776830902
model,H2O,0.4329200000000001,0.8865589112140219
model,H2O,0.4409,0.8864013303162249
model,H2O,0.44888,0.8862113286735545
model,H2O,0.45686,0.8859811246189603
model,H2O,0.46484,0.8856906976100013
model,H2O,0.4728200000000001,0.8853106106443395
model,H2O,0.4808,0.8848323766035419
model,H2O,0.48878,0.8842372438389513
model,H2O,0.4967600000000001,0.8835076506800379
model,H2O,0.5047400000000001,0.8825935395223127
model,H2O,0.5127200000000001,0.8815101303952533
model,H2O,0.5207,0.8802949315927717
model,H2O,0.52868,0.8789654699430223
model,H2O,0.53666,0.8775408357878962
model,H2O,0.54464,0.8760260788096621
model,H2O,0.5526200000000001,0.8744591283136276
model,H2O,0.5606000000000001,0.8728533530043162
model,H2O,0.5685800000000001,0.8712164425758869
model,H2O,0.5765600000000001,0.8695546243442035
model,H2O,0.5845400000000001,0.867868553545225
model,H2O,0.59252,0.8661691442263496
model,H2O,0.6005,0.864458526605416
model,H2O,0.6084800000000001,0.862738565618007
model,H2O,0.6164600000000001,0.8610103727812048
model,H2O,0.6244400000000001,0.8592746869504965
model,H2O,0.6324200000000001,0.857534358099116
model,H2O,0.6404000000000001,0.8557900704497922
model,H2O,0.6483800000000001,0.8540424402648539
model,H2O,0.65636,0.8522917045568333
model,H2O,0.66434,0.8505385145641832
model,H2O,0.67232,0.84878375525654
model,H2O,0.6803000000000001,0.8470277413039258
model,H2O,0.6882800000000001,0.8452707678946382
model,H2O,0.6962600000000001,0.8435130603640121
model,H2O,0.7042400000000001,0.8417551000435759
model,H2O,0.7122200000000001,0.8399971905974978
model,H2O,0.7202000000000001,0.8382395536370436
model,H2O,0.72818,0.8364824078836718
model,H2O,0.7361600000000001,0.834726310090109
model,H2O,0.7441400000000001,0.8329714374835903
model,H2O,0.7521200000000001,0.8312179734900088
model,H2O,0.7601000000000001,0.8294661589506809
model,H2O,0.7680800000000001,0.8277162659591634
model,H2O,0.7760600000000001,0.8259695006336812
model,H2O,0.7840400000000001,0.8242255176209599
model,H2O,0.7920200000000001,0.8224846512276338
model,H2O,0.8,0.8207472553816926
model,MEAH+,0.11372,0.01276389223532
model,MEAH+,0.1217,0.0136595645802857
model,MEAH+,0.12968,0.0145552369232663
model,MEAH+,0.13766,0.0154509092643083
model,MEAH+,0.14564,0.0163465816032306
model,MEAH+,0.15362,0.0172422539398395
model,MEAH+,0.1616,0.018137926273054
model,MEAH+,0.16958,0.0190335986030158
model,MEAH+,0.17756,0.0199292709295949
model,MEAH+,0.18554,0.0208249432524527
model,MEAH+,0.19352,0.0217206155712131
model,MEAH+,0.2015,0.022616287883525
model,MEAH+,0.20948,0.0235119601902752
model,MEAH+,0.21746,0.024407632490844
model,MEAH+,0.22544,0.0253033047845548
model,MEAH+,0.23342,0.0261989770699984
model,MEAH+,0.2414,0.0270946493437603
model,MEAH+,0.24938,0.0279903216068171
model,MEAH+,0.25736,0.0288859938578336
model,MEAH+,0.26534,0.0297816660953377
model,MEAH+,0.27332,0.0306773383149673
model,MEAH+,0.2813,0.0315730105117438
model,MEAH+,0.28928,0.0324686826861129
model,MEAH+,0.29726,0.0333643548348579
model,MEAH+,0.30524,0.0342600269543898
model,MEAH+,0.31322,0.0351556990312321
model,MEAH+,0.3212,0.0360513710581897
model,MEAH+,0.32918,0.0369470430323291
model,MEAH+,0.33716,0.0378427149446143
model,MEAH+,0.34514,0.0387383867848116
model,MEAH+,0.35312,0.0396340585069627
model,MEAH+,0.3611,0.0405297301010971
model,MEAH+,0.3690800000000001,0.0414254015469023
model,MEAH+,0.37706,0.0423210728127075
model,MEAH+,0.38504,0.0432167438604502
model,MEAH+,0.39302,0.0441124145023556
model,MEAH+,0.401,0.0450080847201624
model,MEAH+,0.40898,0.0459037543909378
model,MEAH+,0.41696,0.0467994233597981
model,MEAH+,0.42494,0.0476950913363116
model,MEAH+,0.4329200000000001,0.04859075749293
model,MEAH+,0.4409,0.0494864214415018
model,MEAH+,0.44888,0.0503820822657275
model,MEAH+,0.45686,0.0512777387421797
model,MEAH+,0.46484,0.0521733877306392
model,MEAH+,0.4728200000000001,0.0530690227271915
model,MEAH+,0.4808,0.0539646382829113
model,MEAH+,0.48878,0.0548602252358597
model,MEAH+,0.4967600000000001,0.055755772374116
model,MEAH+,0.5047400000000001,0.0566512459225237
model,MEAH+,0.5127200000000001,0.0575466171508178
model,MEAH+,0.5207,0.0584418736334303
model,MEAH+,0.52868,0.0593369955098028
model,MEAH+,0.53666,0.0602319632874434
model,MEAH+,0.54464,0.0611266967830146
model,MEAH+,0.5526200000000001,0.0620212071468433
model,MEAH+,0.5606000000000001,0.0629154870582806
model,MEAH+,0.5685800000000001,0.0638095169751924
model,MEAH+,0.5765600000000001,0.0647032744430564
model,MEAH+,0.5845400000000001,0.0655966213798232
