source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data
Matin,20.0,0.3,0.406,MEACOO-,0.04,0.0002241054816669,-2.2516075117290573
Matin,20.0,0.3,0.431,MEACOO-,0.0417,0.0002241054816669,-2.2696835753748523
Matin,20.0,0.3,0.455,MEACOO-,0.0433,0.0002241054816669,-2.2860354167544603
Bottinger,20.0,0.3,0.474,MEACOO-,0.0493,0.0002241054816669,-2.342394439678325
Matin,20.0,0.3,0.48,MEACOO-,0.0448,0.0002241054816669,-2.3008255343992388
Matin,20.0,0.3,0.505,MEACOO-,0.0462,0.0002241054816669,-2.3141894959572205
Bottinger,20.0,0.3,0.524,MEACOO-,0.0467,0.0002241054816669,-2.318864400967207
Matin,20.0,0.3,0.531,MEACOO-,0.0475,0.0002241054816669,-2.3262411300259616
Jakobsen,20.0,0.3,0.6,MEACOO-,0.0519,0.0002241054816669,-2.364714878249553
Bottinger,20.0,0.3,0.609,MEACOO-,0.04,0.0002241054816669,-2.2516075117290573
Bottinger,20.0,0.3,0.704,MEACOO-,0.0324,0.0002241054816669,-2.160092530607707
Jakobsen,20.0,0.3,0.78,MEACOO-,0.0385,0.0002241054816669,-2.235008249909596
Bottinger,20.0,0.3,0.832,MEACOO-,0.0198,0.0002241054816669,-1.946212710662626
Bottinger,20.0,0.3,0.929,MEACOO-,0.0118,0.0002241054816669,-1.7214295277072202
Bottinger,20.0,0.3,0.974,MEACOO-,0.0114,0.0002241054816669,-1.7064523717375677
Jakobsen,20.0,0.3,0.99,MEACOO-,0.0276,0.0002241054816669,-2.0904566024663125
Matin,20.0,0.3,0.106,MEAH+,0.0115,0.0002244792877773,-1.709521564586551
Jakobsen,20.0,0.3,0.11,MEAH+,0.0081,0.0002244792877773,-1.557308743111589
Matin,20.0,0.3,0.128,MEAH+,0.0139,0.0002244792877773,-1.7918385244870343
Matin,20.0,0.3,0.15,MEAH+,0.0162,0.0002244792877773,-1.8583387387755703
Matin,20.0,0.3,0.173,MEAH+,0.0186,0.0002244792877773,-1.918336668450856
Matin,20.0,0.3,0.195,MEAH+,0.021,0.0002244792877773,-1.9710430189668584
Jakobsen,20.0,0.3,0.21,MEAH+,0.0178,0.0002244792877773,-1.8992437265418332
Matin,20.0,0.3,0.218,MEAH+,0.0234,0.0002244792877773,-2.018039581643082
Matin,20.0,0.3,0.241,MEAH+,0.0257,0.0002244792877773,-2.0587568475642337
Jakobsen,20.0,0.3,0.25,MEAH+,0.0245,0.0002244792877773,-2.037989808597472
Matin,20.0,0.3,0.264,MEAH+,0.0281,0.0002244792877773,-2.09753004413802
Matin,20.0,0.3,0.287,MEAH+,0.0304,0.0002244792877773,-2.131697307841693
Jakobsen,20.0,0.3,0.29,MEAH+,0.0236,0.0002244792877773,-2.021735727203046
Matin,20.0,0.3,0.31,MEAH+,0.0327,0.0002244792877773,-2.163371476893225
Matin,20.0,0.3,0.334,MEAH+,0.0349,0.0002244792877773,-2.1916491511921192
Matin,20.0,0.3,0.358,MEAH+,0.0372,0.0002244792877773,-2.219366664114837
Matin,20.0,0.3,0.382,MEAH+,0.0394,0.0002244792877773,-2.2443199460585133
Jakobsen,20.0,0.3,0.4,MEAH+,0.0447,0.0002244792877773,-2.299131247364876
Matin,20.0,0.3,0.406,MEAH+,0.0415,0.0002244792877773,-2.266871820945032
Matin,20.0,0.3,0.431,MEAH+,0.0436,0.0002244792877773,-2.2883102135015254
Matin,20.0,0.3,0.455,MEAH+,0.0457,0.0002244792877773,-2.308739924302789
Matin,20.0,0.3,0.48,MEAH+,0.0477,0.0002244792877773,-2.327342103273053
Matin,20.0,0.3,0.505,MEAH+,0.0496,0.0002244792877773,-2.3443054007231368
Matin,20.0,0.3,0.531,MEAH+,0.0515,0.0002244792877773,-2.3606309532741303
Jakobsen,20.0,0.3,0.6,MEAH+,0.0632,0.0002244792877773,-2.449540802515324
Jakobsen,20.0,0.3,0.78,MEAH+,0.0749,0.0002244792877773,-2.5233055419324057
Jakobsen,20.0,0.3,0.99,MEAH+,0.0826,0.0002244792877773,-2.565803771553321
Jakobsen,40.0,0.3,0.78,CO2,0.0009,0.0003012618891356,-0.4752983143240938
Jakobsen,40.0,0.3,0.99,CO2,0.0032,0.0046046623892516,0.1580478152010082
Jakobsen,40.0,0.3,0.11,CO3^2-,0.0001,0.0,-26.0
Jakobsen,40.0,0.3,0.21,CO3^2-,0.0027,0.0,-27.431363764158988
Jakobsen,40.0,0.3,0.25,CO3^2-,0.0004,0.0,-26.602059991327963
Jakobsen,40.0,0.3,0.29,CO3^2-,0.0004,0.0,-26.602059991327963
Jakobsen,40.0,0.3,0.4,CO3^2-,0.001,0.0,-27.0
Jakobsen,40.0,0.3,0.6,CO3^2-,0.0009,0.0,-26.954242509439325
Jakobsen,40.0,0.3,0.78,CO3^2-,0.0009,0.0,-26.954242509439325
Jakobsen,40.0,0.3,0.99,CO3^2-,0.0011,0.0,-27.041392685158225
Jakobsen,40.0,0.3,0.11,HCO3-,0.0001,5.7735062508146895e-05,-0.238560359650913
Bottinger,40.0,0.3,0.125,HCO3-,0.0,6.819897192083286e-05,25.833777827846003
Bottinger,40.0,0.3,0.205,HCO3-,0.0,0.0001417732304464,26.1515942353118
Jakobsen,40.0,0.3,0.21,HCO3-,0.002,0.0001477453566661,-1.1315161548820272
Bottinger,40.0,0.3,0.236,HCO3-,0.0,0.000182101059185,26.260312471862477
Jakobsen,40.0,0.3,0.25,HCO3-,0.0004,0.0002035596372334,-0.2933683230883953
Bottinger,40.0,0.3,0.28,HCO3-,0.0,0.000258426324192,26.412336750302384
Jakobsen,40.0,0.3,0.29,HCO3-,0.0003,0.0002801041283124,-0.0298017450032421
Bottinger,40.0,0.3,0.343,HCO3-,0.0,0.0004388952523861,26.642360883023915
Bottinger,40.0,0.3,0.354,HCO3-,0.0,0.0004853801049159,26.68608197120833
Jakobsen,40.0,0.3,0.4,HCO3-,0.0012,0.0007826049765469,-0.185638640816705
Bottinger,40.0,0.3,0.46,HCO3-,0.0,0.0018934471903956,27.27725319684021
Bottinger,40.0,0.3,0.466,HCO3-,0.004,0.0021153682829563,-0.2766740029114883
