temperature_C,CO2_loading,effective_CO2_loading,solver_returned,solver_success,rejection_reason,message,charge_residual,max_abs_reaction_residual,state_failure_count
40.0,0.20375000000000001,0.20375000000000001,True,True,,converged,-2.4256350708806674e-11,9.485052743229971e-08,0
40.0,0.20871875,0.20871875,True,True,,converged,-2.4293948522666328e-11,9.485280472176782e-08,0
40.0,0.2136875,0.2136875,True,True,,converged,-1.2162196290428271e-11,5.5750799532461315e-08,0
40.0,0.21865625,0.21865625,True,True,,converged,-2.4348454372844137e-11,9.835191860929626e-08,0
40.0,0.22362500000000002,0.22362500000000002,True,True,,converged,-2.436604162624797e-11,9.628232788827518e-08,0
40.0,0.22859375,0.22859375,True,True,,converged,-2.4380920407099664e-11,9.685128787850772e-08,0
40.0,0.2335625,0.2335625,True,True,,converged,-2.4389368075052736e-11,9.774500142611942e-08,0
40.0,0.23853125,0.23853125,True,True,,converged,-2.4394757833787542e-11,9.786212373796843e-08,0
40.0,0.2435,0.2435,True,True,,converged,-2.439732648999921e-11,9.821875579518746e-08,0
40.0,0.24846875000000002,0.24846875000000002,True,True,,converged,-2.4395832999812546e-11,9.885427942890601e-08,0
40.0,0.2534375,0.2534375,True,True,,converged,-2.439288100189994e-11,9.936731260040688e-08,0
40.0,0.25840625,0.25840625,True,True,,converged,-2.4387170703875035e-11,9.928003663617346e-08,0
40.0,0.263375,0.263375,True,True,,converged,-2.4379676346940142e-11,9.949865997782581e-08,0
40.0,0.26834375,0.26834375,True,True,,converged,-2.437044993891822e-11,9.86936008473549e-08,0
40.0,0.2733125,0.2733125,True,True,,converged,-1.21803923707858e-11,5.12764728455295e-08,0
40.0,0.27828125000000004,0.27828125000000004,True,True,,converged,-1.217554822578287e-11,5.168628547380649e-08,0
40.0,0.28325,0.28325,True,True,,converged,-1.2170334811684386e-11,5.127284907757712e-08,0
40.0,0.28821875,0.28821875,True,True,,converged,-1.2165582174191846e-11,5.161929195196535e-08,0
40.0,0.2931875,0.2931875,True,True,,converged,-1.2160910159836325e-11,5.1781469778688916e-08,0
40.0,0.29815625,0.29815625,True,True,,converged,-1.215712378534276e-11,5.165051675248833e-08,0
40.0,0.30312500000000003,0.30312500000000003,True,True,,converged,-1.215409560613391e-11,5.1676149581680875e-08,0
40.0,0.30809375,0.30809375,True,True,,converged,-1.215174037088473e-11,5.197425068104167e-08,0
40.0,0.3130625,0.3130625,True,True,,converged,-1.2150833003780643e-11,5.098887712051692e-08,0
40.0,0.31803125,0.31803125,True,True,,converged,-1.2151230955105856e-11,5.7197297564925975e-08,0
40.0,0.323,0.323,True,True,,converged,-1.215332534994706e-11,5.235481026488742e-08,0
40.0,0.32796875000000003,0.32796875000000003,True,True,,converged,-1.2157955131663348e-11,5.242037559582968e-08,0
40.0,0.3329375,0.3329375,True,True,,converged,-1.2164704470605088e-11,5.246740997222332e-08,0
40.0,0.33790625,0.33790625,True,True,,converged,-1.2174252652467628e-11,5.32023740618115e-08,0
40.0,0.342875,0.342875,True,True,,converged,-1.2186406839189096e-11,5.2678288398055884e-08,0
