row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,species,target_role,validation_use,reconciled_mole_fraction
cheq_0018,Matin,20.0,0.3,0.334,MEACOO-,direct_positive,log_residual_target,0.033123684537685716
cheq_0018,Matin,20.0,0.3,0.334,HCO3-,direct_positive,log_residual_target,0.003977877015087029
cheq_0018,Matin,20.0,0.3,0.334,CO3^2-,balance_inferred,context_only,1.0001007874467317e-12
cheq_0018,Matin,20.0,0.3,0.334,H3O+,balance_inferred,context_only,0.0016392553344616381
cheq_0018,Matin,20.0,0.3,0.334,OH-,balance_inferred,context_only,1e-12
cheq_0018,Matin,20.0,0.3,0.334,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.07817280522093314
cheq_0019,Matin,20.0,0.3,0.358,CO2,balance_inferred,context_only,1e-12
cheq_0019,Matin,20.0,0.3,0.358,MEA,direct_positive,log_residual_target,0.03775707657606801
cheq_0019,Matin,20.0,0.3,0.358,MEAH+,direct_positive,log_residual_target,0.03786062064138502
cheq_0019,Matin,20.0,0.3,0.358,MEACOO-,direct_positive,log_residual_target,0.03507866377624308
cheq_0019,Matin,20.0,0.3,0.358,HCO3-,direct_positive,log_residual_target,0.004571776847680795
cheq_0019,Matin,20.0,0.3,0.358,CO3^2-,balance_inferred,context_only,1.0001580314766216e-12
cheq_0019,Matin,20.0,0.3,0.358,H3O+,balance_inferred,context_only,0.0017898199845391705
cheq_0019,Matin,20.0,0.3,0.358,OH-,balance_inferred,context_only,1e-12
cheq_0019,Matin,20.0,0.3,0.358,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.07561769721745304
cheq_0020,Matin,20.0,0.3,0.382,CO2,balance_inferred,context_only,9.999999999999998e-13
cheq_0020,Matin,20.0,0.3,0.382,MEA,direct_positive,log_residual_target,0.03280550367447648
cheq_0020,Matin,20.0,0.3,0.382,MEAH+,direct_positive,log_residual_target,0.04030653134225544
cheq_0020,Matin,20.0,0.3,0.382,MEACOO-,direct_positive,log_residual_target,0.036729626166843464
cheq_0020,Matin,20.0,0.3,0.382,HCO3-,direct_positive,log_residual_target,0.00525706055504629
cheq_0020,Matin,20.0,0.3,0.382,CO3^2-,balance_inferred,context_only,1.0002080372628479e-12
cheq_0020,Matin,20.0,0.3,0.382,H3O+,balance_inferred,context_only,0.001680155381634733
cheq_0020,Matin,20.0,0.3,0.382,OH-,balance_inferred,context_only,9.999999999999998e-13
cheq_0020,Matin,20.0,0.3,0.382,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.07311203501673191
cheq_0021,Bottinger,20.0,0.3,0.388,CO2,balance_inferred,context_only,0.007208532136674709
cheq_0021,Bottinger,20.0,0.3,0.388,MEA,balance_inferred,context_only,0.07472786584945713
cheq_0021,Bottinger,20.0,0.3,0.388,MEAH+,balance_inferred,context_only,0.04259985288271074
cheq_0021,Bottinger,20.0,0.3,0.388,MEACOO-,direct_positive,log_residual_target,0.04283425315884062
cheq_0021,Bottinger,20.0,0.3,0.388,HCO3-,balance_inferred,context_only,0.011733140006720606
cheq_0021,Bottinger,20.0,0.3,0.388,CO3^2-,balance_inferred,context_only,0.00037262825098879394
cheq_0021,Bottinger,20.0,0.3,0.388,H3O+,balance_inferred,context_only,0.012712796784828076
cheq_0021,Bottinger,20.0,0.3,0.388,OH-,balance_inferred,context_only,1e-12
cheq_0021,Bottinger,20.0,0.3,0.388,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.11732771873216788
cheq_0022,Jakobsen,20.0,0.3,0.4,CO2,balance_inferred,context_only,0.004369108442694628
cheq_0022,Jakobsen,20.0,0.3,0.4,MEA,direct_positive,log_residual_target,0.03334787020776398
cheq_0022,Jakobsen,20.0,0.3,0.4,MEAH+,direct_positive,log_residual_target,0.04515205118746268
cheq_0022,Jakobsen,20.0,0.3,0.4,MEACOO-,direct_positive,log_residual_target,0.042081153618726046
cheq_0022,Jakobsen,20.0,0.3,0.4,HCO3-,direct_positive,log_residual_target,0.0005977284510704963
cheq_0022,Jakobsen,20.0,0.3,0.4,CO3^2-,direct_positive,log_residual_target,0.0011977289436015488
cheq_0022,Jakobsen,20.0,0.3,0.4,H3O+,balance_inferred,context_only,1e-12
cheq_0022,Jakobsen,20.0,0.3,0.4,OH-,balance_inferred,context_only,7.771123046303868e-05
cheq_0022,Jakobsen,20.0,0.3,0.4,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.07849992139522666
cheq_0023,Matin,20.0,0.3,0.406,CO2,balance_inferred,context_only,1.000021895301126e-12
cheq_0023,Matin,20.0,0.3,0.406,MEA,direct_positive,log_residual_target,0.027959116891939494
cheq_0023,Matin,20.0,0.3,0.406,MEAH+,direct_positive,log_residual_target,0.04278263153304992
cheq_0023,Matin,20.0,0.3,0.406,MEACOO-,direct_positive,log_residual_target,0.03825864412458467
cheq_0023,Matin,20.0,0.3,0.406,HCO3-,direct_positive,log_residual_target,0.006031773553929493
cheq_0023,Matin,20.0,0.3,0.406,CO3^2-,balance_inferred,context_only,1e-12
cheq_0023,Matin,20.0,0.3,0.406,H3O+,balance_inferred,context_only,0.0015077861474642393
cheq_0023,Matin,20.0,0.3,0.406,OH-,balance_inferred,context_only,1e-12
cheq_0023,Matin,20.0,0.3,0.406,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.07074174842498941
cheq_0024,Matin,20.0,0.3,0.431,CO2,balance_inferred,context_only,1.0000000000000002e-12
cheq_0024,Matin,20.0,0.3,0.431,MEA,direct_positive,log_residual_target,0.023141758807660468
cheq_0024,Matin,20.0,0.3,0.431,MEAH+,direct_positive,log_residual_target,0.04522971751496442
cheq_0024,Matin,20.0,0.3,0.431,MEACOO-,direct_positive,log_residual_target,0.039734784172672025
cheq_0024,Matin,20.0,0.3,0.431,HCO3-,direct_positive,log_residual_target,0.006902592144746877
cheq_0024,Matin,20.0,0.3,0.431,CO3^2-,balance_inferred,context_only,1.000318943274173e-12
cheq_0024,Matin,20.0,0.3,0.431,H3O+,balance_inferred,context_only,0.001407658804455113
cheq_0024,Matin,20.0,0.3,0.431,OH-,balance_inferred,context_only,1.0000000000000002e-12
cheq_0024,Matin,20.0,0.3,0.431,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.06837147632262489
cheq_0025,Matin,20.0,0.3,0.455,CO2,balance_inferred,context_only,1.0022652101555444e-12
cheq_0025,Matin,20.0,0.3,0.455,MEA,direct_positive,log_residual_target,0.018434796753607565
cheq_0025,Matin,20.0,0.3,0.455,MEAH+,direct_positive,log_residual_target,0.047834362683420124
cheq_0025,Matin,20.0,0.3,0.455,MEACOO-,direct_positive,log_residual_target,0.04100934128197647
cheq_0025,Matin,20.0,0.3,0.455,HCO3-,direct_positive,log_residual_target,0.007856372679628349
cheq_0025,Matin,20.0,0.3,0.455,CO3^2-,balance_inferred,context_only,1.0000000000000002e-12
cheq_0025,Matin,20.0,0.3,0.455,H3O+,balance_inferred,context_only,0.001031351280184688
cheq_0025,Matin,20.0,0.3,0.455,OH-,balance_inferred,context_only,1.0000000000000002e-12
cheq_0025,Matin,20.0,0.3,0.455,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.06626915943702769
cheq_0026,Bottinger,20.0,0.3,0.474,CO2,balance_inferred,context_only,0.008974518605379244
cheq_0026,Bottinger,20.0,0.3,0.474,MEA,balance_inferred,context_only,0.053746328276703066
cheq_0026,Bottinger,20.0,0.3,0.474,MEAH+,balance_inferred,context_only,0.05226646675217855
cheq_0026,Bottinger,20.0,0.3,0.474,MEACOO-,direct_positive,log_residual_target,0.049169771647311775
cheq_0026,Bottinger,20.0,0.3,0.474,HCO3-,balance_inferred,context_only,0.014932370210827047
cheq_0026,Bottinger,20.0,0.3,0.474,CO3^2-,balance_inferred,context_only,0.0004854182537810819
cheq_0026,Bottinger,20.0,0.3,0.474,H3O+,balance_inferred,context_only,0.012806511613522434
cheq_0026,Bottinger,20.0,0.3,0.474,OH-,balance_inferred,context_only,1e-12
cheq_0026,Bottinger,20.0,0.3,0.474,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.10601279502888161
cheq_0027,Matin,20.0,0.3,0.48,CO2,balance_inferred,context_only,9.999999999999998e-13
cheq_0027,Matin,20.0,0.3,0.48,MEA,direct_positive,log_residual_target,0.013717136426959459
cheq_0027,Matin,20.0,0.3,0.48,MEAH+,direct_positive,log_residual_target,0.050410918591157594
cheq_0027,Matin,20.0,0.3,0.48,MEACOO-,direct_positive,log_residual_target,0.04221546671957428
cheq_0027,Matin,20.0,0.3,0.48,HCO3-,direct_positive,log_residual_target,0.008894667044766913
cheq_0027,Matin,20.0,0.3,0.48,CO3^2-,balance_inferred,context_only,9.999999999999998e-13
cheq_0027,Matin,20.0,0.3,0.48,H3O+,balance_inferred,context_only,0.0006992151751835928
cheq_0027,Matin,20.0,0.3,0.48,OH-,balance_inferred,context_only,9.999999999999998e-13
cheq_0027,Matin,20.0,0.3,0.48,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.06412805501811705
cheq_0028,Matin,20.0,0.3,0.505,CO2,balance_inferred,context_only,1e-12
cheq_0028,Matin,20.0,0.3,0.505,MEA,direct_positive,log_residual_target,0.009109195714213442
cheq_0028,Matin,20.0,0.3,0.505,MEAH+,direct_positive,log_residual_target,0.052916667952344475
cheq_0028,Matin,20.0,0.3,0.505,MEACOO-,direct_positive,log_residual_target,0.043387377341267255
cheq_0028,Matin,20.0,0.3,0.505,HCO3-,direct_positive,log_residual_target,0.009922602154003535
cheq_0028,Matin,20.0,0.3,0.505,CO3^2-,balance_inferred,context_only,1e-12
cheq_0028,Matin,20.0,0.3,0.505,H3O+,balance_inferred,context_only,0.00039331154492631276
