source,temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,point_role,target_role
Jakobsen,40.0,0.3,0.6,CO3^2-,0.0008977612992926861,reference_point,direct_positive
Jakobsen,40.0,0.3,0.6,MEA + MEAH+,0.06504792205440395,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.663,MEACOO-,0.034663407555071524,reference_point,direct_positive
Bottinger,40.0,0.3,0.663,HCO3-,0.04263469918392913,reference_point,direct_positive
Bottinger,40.0,0.3,0.663,MEA + MEAH+,0.10131902848703453,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.683,MEACOO-,0.032282566102059325,reference_point,direct_positive
Bottinger,40.0,0.3,0.683,HCO3-,0.03812315601281891,reference_point,direct_positive
Bottinger,40.0,0.3,0.683,MEA + MEAH+,0.09128201699655991,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.762,MEACOO-,0.01879270171114724,reference_point,direct_positive
Bottinger,40.0,0.3,0.762,HCO3-,0.05929165336320346,reference_point,direct_positive
Bottinger,40.0,0.3,0.762,MEA + MEAH+,0.10388930805539652,reference_point,aggregate_direct_positive
Jakobsen,40.0,0.3,0.78,CO2,0.006535586709895351,reference_point,direct_positive
Jakobsen,40.0,0.3,0.78,MEA,0.00120105440195927,reference_point,direct_positive
Jakobsen,40.0,0.3,0.78,MEAH+,0.07576578616652846,reference_point,direct_positive
Jakobsen,40.0,0.3,0.78,MEACOO-,0.03868738089045649,reference_point,direct_positive
Jakobsen,40.0,0.3,0.78,HCO3-,0.044116670392735896,reference_point,direct_positive
Jakobsen,40.0,0.3,0.78,CO3^2-,0.0008986307204132807,reference_point,direct_positive
Jakobsen,40.0,0.3,0.78,MEA + MEAH+,0.07696684056848772,reference_point,aggregate_direct_positive
Jakobsen,40.0,0.3,0.99,CO2,0.015629020842478938,reference_point,direct_positive
Jakobsen,40.0,0.3,0.99,MEA,0.0014005880740062845,reference_point,direct_positive
Jakobsen,40.0,0.3,0.99,MEAH+,0.08535785478904613,reference_point,direct_positive
Jakobsen,40.0,0.3,0.99,MEACOO-,0.031198543902610683,reference_point,direct_positive
Jakobsen,40.0,0.3,0.99,HCO3-,0.06887118012817613,reference_point,direct_positive
Jakobsen,40.0,0.3,0.99,CO3^2-,0.0010993907394860796,reference_point,direct_positive
Jakobsen,40.0,0.3,0.99,MEA + MEAH+,0.08675844286305241,reference_point,aggregate_direct_positive
Bottinger,60.0,0.3,0.131,MEACOO-,0.014678085117217314,reference_point,direct_positive
Bottinger,60.0,0.3,0.131,MEA + MEAH+,0.11868645796907222,reference_point,aggregate_direct_positive
Bottinger,60.0,0.3,0.203,MEACOO-,0.023069288250000868,reference_point,direct_positive
Bottinger,60.0,0.3,0.203,MEA + MEAH+,0.11210199057115247,reference_point,aggregate_direct_positive
Bottinger,60.0,0.3,0.277,MEACOO-,0.030186922923972386,reference_point,direct_positive
Bottinger,60.0,0.3,0.277,MEA + MEAH+,0.10082191944144109,reference_point,aggregate_direct_positive
Bottinger,60.0,0.3,0.415,MEACOO-,0.04169624203823407,reference_point,direct_positive
Bottinger,60.0,0.3,0.415,HCO3-,0.004199925734444996,reference_point,direct_positive
Bottinger,60.0,0.3,0.415,MEA + MEAH+,0.0910691749491194,reference_point,aggregate_direct_positive
Bottinger,60.0,0.3,0.489,MEACOO-,0.04242348587877558,reference_point,direct_positive
Bottinger,60.0,0.3,0.489,HCO3-,0.007201320482920666,reference_point,direct_positive
Bottinger,60.0,0.3,0.489,MEA + MEAH+,0.08185325396893128,reference_point,aggregate_direct_positive
Bottinger,60.0,0.3,0.559,MEACOO-,0.045483195825535803,reference_point,direct_positive
Bottinger,60.0,0.3,0.559,HCO3-,0.01629508303740718,reference_point,direct_positive
Bottinger,60.0,0.3,0.559,MEA + MEAH+,0.08673384848550816,reference_point,aggregate_direct_positive
Bottinger,60.0,0.3,0.613,MEACOO-,0.037468037010433976,reference_point,direct_positive
Bottinger,60.0,0.3,0.613,HCO3-,0.03034564788207599,reference_point,direct_positive
Bottinger,60.0,0.3,0.613,MEA + MEAH+,0.09365445577074108,reference_point,aggregate_direct_positive
Bottinger,60.0,0.3,0.766,MEACOO-,0.03570611609774139,reference_point,direct_positive
Bottinger,60.0,0.3,0.766,HCO3-,0.022910699297426316,reference_point,direct_positive
Bottinger,60.0,0.3,0.766,MEA + MEAH+,0.06578466043439725,reference_point,aggregate_direct_positive
Bottinger,80.0,0.3,0.064,MEACOO-,0.006792714341598156,reference_point,direct_positive
Bottinger,80.0,0.3,0.064,MEA + MEAH+,0.11962364738119928,reference_point,aggregate_direct_positive
Bottinger,80.0,0.3,0.141,MEACOO-,0.013995933073014956,reference_point,direct_positive
Bottinger,80.0,0.3,0.141,MEA + MEAH+,0.10741711581813168,reference_point,aggregate_direct_positive
Bottinger,80.0,0.3,0.245,MEACOO-,0.022417155371735567,reference_point,direct_positive
Bottinger,80.0,0.3,0.245,MEA + MEAH+,0.09198705312309902,reference_point,aggregate_direct_positive
Bottinger,80.0,0.3,0.336,MEACOO-,0.03372249821357792,reference_point,direct_positive
Bottinger,80.0,0.3,0.336,MEA + MEAH+,0.08941653992704077,reference_point,aggregate_direct_positive
Bottinger,80.0,0.3,0.398,MEACOO-,0.033623186367786315,reference_point,direct_positive
Bottinger,80.0,0.3,0.398,HCO3-,0.0046007148145313925,reference_point,direct_positive
Bottinger,80.0,0.3,0.398,MEA + MEAH+,0.0853199625031418,reference_point,aggregate_direct_positive
Bottinger,80.0,0.3,0.51,MEACOO-,0.05019884380774746,reference_point,direct_positive
Bottinger,80.0,0.3,0.51,HCO3-,0.01657752333804783,reference_point,direct_positive
Bottinger,80.0,0.3,0.51,MEA + MEAH+,0.10099318344917027,reference_point,aggregate_direct_positive
